ID,long_term_credit_card_opening_propensity_score,creditworthiness_score,spend_potential,number_of_credit_cards,short_term_credit_card_opening_propensity_score,long_term_credit_card_cancellation_propensity_score,credit_card_utilization_score,number_of_attempts_to_open_credit_cards,history_at_credit_bureau,total_limit_across_credit_cards,contact_history_score,Balance Transfer Propensity Score,targeted_product,Customer Lifetime Value
15350,3,9272.7,0.6,33,0,0,12,0,23,175,45,2,E,1858
15351,12.1,8259.7,,66,3,1.3,15,60,33,350,0,33,C,507
15352,3,9181.8,0.8,165,0,2.6,10,20,33,700,45,37,E,1813
15353,3,9974,12.4,165,0,2.6,6,4,65,5200,405,38,A,8363
15354,12.1,9480.5,0.5,165,6.1,0,1,36,28,175,30,42,E,929
15355,15.2,9039,0.4,132,0,1.3,9,44,23,450,0,46,E,982
15356,3,9168.8,1.2,33,3,0,6,32,21,500,60,23,C,1780
15357,3,9506.5,4.7,99,0,6.5,3,16,50,2925,45,47,B,5883
15358,0,9233.8,0.4,33,0,0,11,8,25,1000,0,81,E,3151
15359,6.1,9246.8,4.5,66,3,0,8,4,22,500,0,100,E,1428
15360,6.1,9688.3,,66,0,0,3,0,25,3575,0,82,E,1521
15361,0,8285.7,0.3,66,0,1.3,11,0,40,125,0,73,C,565
15362,12.1,9480.5,5.1,198,3,10.4,5,20,59,925,135,7,E,2383
15363,3,10155.8,4.1,66,0,0,1,0,28,6450,105,4,A,5071
15364,12.1,9493.5,16.7,264,9.1,3.9,3,20,41,3050,165,11,A,4399
15365,3,9636.4,,33,0,0,14,8,35,1500,0,35,E,1510
15366,3,9649.4,0.1,33,0,0,7,0,22,1150,195,88,E,2022
15367,12.1,8974,1.3,99,9.1,1.3,15,76,23,275,30,91,E,495
15368,9.1,10103.9,2.2,231,3,1.3,3,16,40,750,45,43,E,2999
15369,12.1,9051.9,1.7,132,9.1,0,2,32,32,850,285,80,D,975
15370,3,9220.8,0.8,33,3,0,8,0,22,450,75,6,E,1213
15371,6.1,10753.2,31.8,396,3,5.2,2,20,59,3775,0,3,A,6414
15372,9.1,10857.1,2.3,99,3,3.9,0,8,42,2850,120,60,A,5005
15373,9.1,10285.7,1.1,165,0,3.9,1,60,34,875,105,83,E,1748
15374,3,9779.2,0.1,33,0,0,1,12,23,550,0,84,C,1463
15375,33.3,9662.3,1.4,330,3,3.9,1,16,32,750,0,68,E,674
15376,18.2,9337.7,2.5,231,3,3.9,11,52,43,550,0,73,E,525
15377,9.1,8558.4,0.6,99,6.1,3.9,6,12,34,1225,75,23,B,3010
15378,3,11039,15.1,99,0,1.3,1,8,39,4250,360,44,A,4909
15379,9.1,8909.1,,99,3,0,15,20,23,375,0,55,E,541
15380,6.1,9233.8,1.2,66,3,0,12,20,23,475,90,74,E,2174
15381,12.1,8298.7,1.2,198,6.1,3.9,6,20,51,1850,0,54,C,422
15382,9.1,8753.2,,165,3,2.6,11,16,44,975,15,52,C,1632
15383,15.2,9207.8,,264,0,0,8,12,44,525,0,30,C,962
15384,6.1,9441.6,2.8,66,6.1,3.9,16,16,39,350,30,51,E,1391
15385,3,9142.9,0.4,33,0,0,11,32,26,150,75,93,E,2186
15386,15.2,9272.7,1.8,231,0,2.6,14,12,42,1225,210,45,E,839
15387,6.1,9506.5,0.7,66,6.1,0,9,56,36,625,60,60,E,760
15388,,9857.1,0,,,,,8,27,,0,97,A,6634
15389,12.1,9701.3,5.4,165,3,0,3,24,26,775,690,64,E,3861
15390,12.1,8311.7,0.3,66,3,2.6,8,40,43,1050,0,22,C,63
15391,3,9688.3,,33,3,0,13,8,35,950,0,37,E,3499
15392,9.1,10116.9,0.8,132,6.1,0,2,4,27,1050,0,85,E,770
15393,12.1,9454.5,1.2,99,3,0,1,20,25,475,540,88,E,969
15394,6.1,8519.5,0.2,66,6.1,0,10,12,23,100,0,68,C,320
15395,3,8467.5,1.5,33,0,0,6,16,22,125,105,91,C,885
15396,9.1,9688.3,1.2,99,3,0,,4,24,1525,60,26,E,501
15397,12.1,8558.4,0.7,99,6.1,2.6,9,44,46,2200,30,4,C,351
15398,12.1,8792.2,10.1,132,3,0,10,24,38,1625,690,77,E,3173
15399,21.2,10311.7,14.2,297,6.1,9.1,3,12,43,2750,90,65,E,1203
15400,21.2,8740.3,3.5,132,0,7.8,9,20,34,475,45,45,C,710
15401,9.1,9116.9,1.1,132,3,0,8,16,25,425,135,37,E,399
15402,15.2,8584.4,2,165,12.1,0,6,36,26,175,0,16,B,4679
15403,3,9220.8,0.3,33,0,0,11,12,24,450,180,61,E,1561
15404,3,8727.3,1.9,33,3,0,10,8,37,1300,30,71,C,1010
15405,3,9883.1,0,66,0,0,10,4,36,4000,90,99,A,6011
15406,9.1,9324.7,0.9,165,0,0,6,8,30,925,465,28,E,3142
15407,0,9311.7,2.9,132,0,0,15,8,43,825,390,73,C,3693
15408,3,9740.3,11,99,0,0,4,4,28,1400,135,64,E,1826
15409,6.1,9246.8,2,198,0,2.6,12,8,48,600,0,24,C,759
15410,15.2,9831.2,1.7,165,6.1,0,3,32,24,625,375,29,E,738
15411,9.1,8532.5,0.1,33,3,0,6,52,25,100,15,75,C,648
15412,9.1,9324.7,,99,0,0,5,8,25,1300,0,92,E,1449
15413,6.1,9740.3,32.7,99,3,6.5,12,4,46,2575,525,89,A,10858
15414,27.3,8220.8,3.5,231,6.1,2.6,10,16,33,900,30,63,C,317
15415,6.1,9207.8,1.5,66,3,0,8,64,23,175,240,12,E,1985
15416,21.2,9857.1,3.4,198,3,1.3,5,16,25,925,0,56,E,346
15417,21.2,9584.4,,231,3,0,2,16,24,625,0,14,E,406
15418,21.2,9701.3,2.1,198,6.1,1.3,8,56,27,500,210,81,E,777
15419,12.1,9311.7,0.1,132,6.1,0,10,8,24,700,60,62,E,504
15420,3,8220.8,0.4,66,0,0,1,40,28,625,0,32,C,611
15421,3,9207.8,0,33,3,0,2,8,22,250,0,11,B,2001
15422,9.1,8675.3,0.7,99,6.1,0,5,20,34,225,15,76,B,3577
15423,6.1,9051.9,2.9,66,6.1,0,1,32,22,575,0,41,C,1004
15424,6.1,9532.5,0.7,66,0,0,17,28,40,350,75,95,E,927
15425,9.1,9350.6,2.2,132,3,2.6,8,0,32,1200,0,19,E,2235
15426,3,9155.8,,33,0,0,13,0,24,1050,0,2,E,2903
15427,9.1,9298.7,1.7,132,0,1.3,8,24,26,800,465,5,E,2409
15428,6.1,8298.7,0.5,66,3,2.6,15,40,36,100,0,60,C,694
15429,6.1,9116.9,1.2,66,3,0,6,40,23,325,0,73,E,1073
15430,6.1,9376.6,2.1,66,3,0,2,24,22,1825,240,82,A,4685
15431,15.2,9389.6,1.7,165,3,0,6,52,33,700,120,12,E,1449
15432,18.2,8922.1,4.5,264,9.1,13,7,16,44,575,0,94,C,215
15433,36.4,9324.7,9.9,726,9.1,0,5,24,41,1975,0,95,A,5916
15434,15.2,9039,2.6,132,3,0,10,28,24,775,435,89,E,2070
15435,3,8831.2,2.7,198,3,7.8,11,24,46,475,120,82,C,1486
15436,9.1,9246.8,0.8,99,6.1,0,4,12,44,650,150,8,E,1488
15437,12.1,9259.7,0,132,12.1,0,10,32,23,475,0,76,B,1883
15438,3,9636.4,0,33,3,0,0,8,22,2500,0,50,B,1349
15439,6.1,8922.1,,198,0,0,9,12,36,800,0,19,E,1358
15440,15.2,8987,2.7,165,3,0,6,20,33,400,120,1,C,729
15441,18.2,9610.4,1.2,198,3,0,1,8,33,275,0,85,E,1711
15442,12.1,9688.3,1.9,132,9.1,0,11,40,23,200,0,88,E,2034
15443,24.2,8441.6,3.3,297,24.2,1.3,6,80,37,700,0,39,B,1975
15444,0,9558.4,,33,0,0,6,4,26,1500,60,91,E,1954
15445,9.1,8467.5,0.6,66,6.1,2.6,11,40,36,600,0,77,B,1454
15446,9.1,9610.4,3.4,99,3,0,13,12,56,750,150,70,E,2385
15447,3,10077.9,1.8,33,0,0,0,16,25,1425,0,52,C,825
15448,9.1,10766.2,5.6,231,3,5.2,2,8,36,1975,75,22,A,3708
15449,9.1,9013,1,99,9.1,0,6,12,32,975,0,76,C,367
15450,12.1,8675.3,4.6,231,0,1.3,11,8,26,450,0,78,E,2972
15451,6.1,9194.8,0.7,66,3,0,7,16,23,125,375,50,E,2442
15452,9.1,9194.8,0.3,99,9.1,0,7,4,22,225,30,48,E,372
15453,6.1,10311.7,1.2,66,0,11.7,,4,30,700,0,69,E,877
15454,9.1,9493.5,1.6,132,6.1,1.3,3,16,27,1475,360,39,E,1742
15455,0,10636.4,30.1,66,0,1.3,5,12,43,5800,645,16,A,10278
15456,12.1,8662.3,0.4,132,0,0,6,44,32,175,45,55,C,947
15457,21.2,9013,1.7,231,18.2,0,5,24,22,275,0,30,E,1162
15458,6.1,9805.2,0.7,66,3,0,2,16,22,725,90,5,E,908
15459,6.1,9064.9,0.2,66,3,0,9,8,22,250,15,75,E,471
15460,6.1,9779.2,,66,3,0,1,0,25,3250,0,67,E,491
15461,12.1,10103.9,,132,6.1,5.2,,20,39,7975,0,10,B,3359
15462,9.1,8779.2,0.6,99,0,0,11,8,26,575,60,22,E,2280
15463,27.3,9805.2,0.3,231,6.1,3.9,12,20,49,1100,75,42,E,297
15464,9.1,8766.2,1.6,99,6.1,0,12,24,23,200,0,63,E,2425
15465,0,9831.2,0.4,66,0,0,5,0,39,1225,210,71,E,2088
15466,15.2,9883.1,1.4,165,0,7.8,2,60,30,450,0,89,E,2287
15467,6.1,9103.9,,66,0,0,11,0,25,1750,0,61,E,1312
15468,6.1,8558.4,0.2,66,0,1.3,1,8,44,275,75,76,B,2085
15469,6.1,9220.8,1.5,33,3,1.3,6,16,22,1625,225,37,B,2764
15470,3,8974,0,33,0,0,10,20,22,650,0,4,E,714
15471,,9636.4,0,,,,,8,27,,105,10,D,1440
15472,9.1,9909.1,1.1,99,0,1.3,7,28,28,725,135,59,E,1349
15473,21.2,9376.6,,231,15.2,0,8,48,22,450,0,40,C,502
15474,6.1,9467.5,2.6,66,0,1.3,7,16,28,1075,300,18,E,3131
15475,6.1,10077.9,3,66,3,0,0,8,24,4950,375,57,A,3810
15476,6.1,9311.7,,66,6.1,0,4,8,25,875,0,97,A,6853
15477,27.3,10675.3,0.4,264,3,45.5,0,16,47,2875,0,40,C,235
15478,24.2,8805.2,3.4,297,3,2.6,1,84,43,800,75,84,E,267
15479,18.2,9818.2,6.7,231,9.1,10.4,1,44,46,3950,120,51,B,2456
15480,0,9883.1,2.6,66,0,0,10,4,33,1300,405,16,A,7843
15481,3,9558.4,0.5,33,0,0,,8,22,3500,0,31,E,669
15482,9.1,9350.6,2.5,363,0,1.3,7,20,32,700,0,67,E,2395
15483,6.1,9026,4.7,132,6.1,11.7,16,28,35,1575,45,29,E,3085
15484,3,9649.4,1,33,0,0,,0,24,125,150,25,C,1237
15485,12.1,9701.3,,132,6.1,0,2,28,22,525,0,82,E,516
15486,21.2,9350.6,1.9,231,3,0,8,64,32,200,0,6,E,1760
15487,6.1,9493.5,0.7,99,6.1,0,11,8,33,700,15,42,E,661
15488,9.1,8896.1,0.6,99,6.1,0,8,16,23,975,30,7,B,983
15489,0,10298.7,8.4,66,0,0,6,8,36,1550,60,35,A,5253
15490,12.1,9168.8,1.1,66,3,3.9,9,20,29,850,180,71,E,402
15491,21.2,8987,1.1,231,9.1,0,10,36,28,300,0,85,E,302
15492,9.1,9532.5,0.2,99,6.1,0,2,20,25,1075,255,23,B,3373
15493,6.1,9194.8,4.3,330,0,5.2,8,8,38,700,585,8,E,2770
15494,3,9649.4,,33,3,0,,0,21,2500,0,34,E,615
15495,6.1,9051.9,0.1,66,6.1,0,1,32,35,525,0,95,E,435
15496,24.2,9727.3,2.7,297,3,1.3,4,16,42,1850,465,49,E,2365
15497,6.1,10363.6,3.2,99,0,1.3,1,8,31,1600,15,18,E,1820
15498,18.2,9805.2,2.2,165,3,1.3,5,24,35,950,585,2,E,1948
15499,12.1,8792.2,3,264,3,1.3,8,12,46,675,135,66,C,1025
15500,12.1,11039,7.5,297,0,3.9,1,0,41,3750,15,5,A,3296
15501,6.1,8922.1,1.7,165,6.1,0,14,12,27,500,30,74,E,849
15502,6.1,9519.5,0.1,66,3,0,2,28,23,350,75,29,E,842
15503,15.2,9454.5,1.7,165,0,0,5,60,23,250,0,20,E,1060
15504,12.1,9753.2,2.1,132,3,0,4,20,23,550,300,31,E,2415
15505,0,8428.6,1,33,0,0,16,44,33,625,225,87,D,1728
15506,36.4,9181.8,10.2,462,3,6.5,5,68,34,1175,315,38,E,2048
15507,0,10311.7,3.3,66,0,5.2,3,12,42,3725,240,24,E,3291
15508,9.1,8688.3,0.6,99,3,0,1,36,28,275,90,17,E,677
15509,9.1,9090.9,0.8,99,6.1,0,4,36,22,775,75,41,C,829
15510,3,9688.3,0,33,0,0,,24,23,125,120,91,B,3909
15511,12.1,9597.4,1.5,132,12.1,0,5,8,37,700,165,10,E,1932
15512,3,9272.7,0.2,33,0,0,3,12,23,975,15,80,E,1149
15513,9.1,9467.5,0.6,99,6.1,0,3,36,22,800,60,39,E,459
15514,6.1,9610.4,1.7,66,6.1,0,4,24,24,650,15,19,E,779
15515,,,,,,,,,,,300,39,E,1945
15516,12.1,9026,1.4,99,9.1,1.3,4,12,23,500,30,39,E,771
15517,6.1,11039,0.2,99,0,3.9,1,16,43,1225,135,30,D,898
15518,12.1,9220.8,1.2,198,3,1.3,11,8,46,650,165,54,E,1418
15519,3,8194.8,4.5,66,3,0,5,36,27,2525,150,31,C,676
15520,12.1,8181.8,1.6,99,0,1.3,11,28,25,275,15,66,C,546
15521,12.1,9129.9,3.7,198,6.1,1.3,8,16,35,925,225,55,E,1262
15522,9.1,9961,2.3,165,0,11.7,8,0,73,1600,0,5,E,1025
15523,12.1,10026,1.5,132,3,9.1,6,16,34,1200,0,23,E,916
15524,9.1,8636.4,0.5,99,6.1,0,3,32,23,450,30,23,C,879
15525,3,10259.7,29.5,165,0,9.1,3,36,44,4950,45,50,B,5113
15526,9.1,8831.2,2,99,3,0,9,16,24,600,165,9,E,3065
15527,6.1,8714.3,1.7,99,0,2.6,2,36,34,250,60,7,B,5619
15528,9.1,9142.9,0.6,99,3,1.3,10,4,32,775,150,39,E,2978
15529,6.1,9675.3,8.3,165,0,2.6,10,12,35,3275,0,72,E,1527
15530,12.1,9896.1,0,132,12.1,0,2,16,38,575,0,76,C,278
15531,15.2,9558.4,,165,3,3.9,5,12,37,3050,15,60,E,432
15532,9.1,9857.1,7.7,165,3,6.5,2,8,39,2225,180,76,A,3452
15533,9.1,9350.6,0.5,99,6.1,0,4,20,22,700,0,99,E,347
15534,3,9013,0.4,66,3,0,11,4,25,225,45,86,E,1125
15535,3,9259.7,,33,0,0,,0,22,1500,0,84,E,1169
15536,12.1,9207.8,6,198,6.1,1.3,4,100,36,875,180,16,E,1627
15537,18.2,10000,,297,3,3.9,5,8,35,2050,0,37,E,2710
15538,33.3,8844.2,5,396,12.1,0,9,40,27,775,0,32,C,621
15539,9.1,9597.4,2.6,99,3,0,4,8,25,1675,15,57,E,664
15540,12.1,10168.8,0.1,165,0,0,8,28,27,1925,180,85,E,538
15541,6.1,8766.2,0.2,66,3,0,7,8,34,125,0,100,E,2673
15542,3,9428.6,0.4,33,0,0,4,4,23,300,135,78,E,1536
15543,6.1,8662.3,1.4,99,3,0,5,16,27,325,0,81,C,505
15544,15.2,9337.7,,297,3,3.9,9,8,33,425,0,82,E,1043
15545,6.1,9350.6,2.4,132,3,11.7,9,4,37,900,105,67,E,792
15546,3,9350.6,2.2,132,0,3.9,15,8,31,650,195,59,E,3205
15547,12.1,9129.9,1.2,132,9.1,1.3,5,56,42,350,45,73,E,1758
15548,6.1,8779.2,2.2,198,3,7.8,13,12,38,700,75,72,B,4880
15549,6.1,8246.8,3.1,66,3,0,3,24,31,600,60,6,C,936
15550,12.1,9116.9,0.7,132,6.1,0,5,36,24,650,165,39,E,1638
15551,9.1,8831.2,0.3,132,3,0,0,32,26,1025,105,73,E,337
15552,0,9064.9,0.8,66,0,11.7,3,12,39,475,195,39,E,1806
15553,0,8818.2,1.9,33,0,3.9,0,8,55,1075,60,95,C,1696
15554,18.2,9623.4,1.4,429,3,9.1,2,8,41,1150,150,90,E,544
15555,6.1,9376.6,0.3,66,3,0,,36,22,375,15,62,B,1363
15556,3,9467.5,,33,3,0,6,4,22,3000,45,51,B,3435
15557,45.5,9039,2.9,429,3,2.6,5,20,35,925,120,13,E,535
15558,12.1,8831.2,0.5,132,3,0,4,60,32,300,15,100,C,490
15559,0,9558.4,7.8,99,0,1.3,7,16,38,2025,285,53,E,3547
15560,3,8233.8,3.4,165,3,0,10,16,27,575,0,22,C,648
15561,3,8740.3,3.7,33,3,0,5,20,22,275,195,98,C,1152
15562,12.1,9039,0.9,132,9.1,0,8,32,22,175,0,16,E,1626
15563,33.3,9168.8,3.1,363,9.1,0,6,12,31,600,660,52,E,1772
15564,3,9636.4,0.3,33,3,0,8,0,21,150,45,44,D,1069
15565,12.1,8454.5,1.4,165,3,1.3,14,12,40,350,0,7,C,708
15566,6.1,8844.2,0.7,66,0,0,11,24,24,325,60,94,E,2398
15567,6.1,8792.2,,66,3,1.3,11,12,45,675,0,82,C,1860
15568,9.1,8454.5,0.3,99,6.1,0,9,28,24,275,0,99,C,363
15569,9.1,9051.9,1,99,3,0,9,40,22,200,0,5,C,525
15570,3,9272.7,0.5,33,0,0,17,0,29,550,165,13,E,2779
15571,6.1,9610.4,0.1,66,3,0,8,8,26,300,60,86,E,1078
15572,3,9675.3,1.2,33,0,0,6,4,22,750,105,71,E,506
15573,21.2,9558.4,6.9,363,6.1,5.2,8,16,38,2500,180,81,E,314
15574,0,9000,6,66,0,0,6,12,31,475,90,79,E,3118
15575,15.2,9324.7,3.9,462,0,0,11,36,30,775,30,24,E,2265
15576,6.1,9363.6,1.3,66,3,0,3,20,22,500,60,39,C,768
15577,0,9558.4,0.1,33,0,0,3,4,26,1125,30,85,E,2376
15578,6.1,9389.6,2.8,231,3,11.7,2,20,39,2225,240,64,E,2309
15579,3,9636.4,5.2,33,0,0,4,8,23,1400,315,52,A,4963
15580,3,10571.4,2.6,165,0,2.6,2,0,49,3550,120,54,D,-86
15581,9.1,9727.3,3.2,66,0,1.3,8,0,25,600,195,98,E,963
15582,6.1,9727.3,8.5,99,0,0,6,8,27,2450,225,65,A,5136
15583,12.1,8454.5,1,132,0,0,5,40,25,300,0,89,C,388
15584,6.1,9350.6,0.8,66,6.1,0,8,16,32,325,90,43,E,396
15585,0,10051.9,,66,0,5.2,3,0,36,3375,0,56,E,590
15586,18.2,9064.9,,198,15.2,0,6,16,22,300,0,83,E,1062
15587,9.1,8649.4,10.2,99,3,2.6,13,20,52,875,240,80,B,5900
15588,6.1,8961,0.7,66,3,0,11,32,24,1175,165,54,E,1809
15589,6.1,9233.8,0.2,33,3,1.3,10,0,25,325,120,84,E,1618
15590,21.2,9519.5,5.7,462,6.1,2.6,7,4,43,1225,90,94,D,3639
15591,3,10013,6.7,264,0,2.6,7,12,34,1300,105,22,E,1714
15592,6.1,9519.5,,66,0,1.3,5,4,38,1175,0,52,E,1454
15593,12.1,9168.8,1.5,198,6.1,2.6,10,36,32,1275,165,71,E,798
15594,21.2,9792.2,3.2,330,3,20.8,3,32,45,2550,75,31,A,3060
15595,15.2,9168.8,1.4,165,0,5.2,9,4,35,800,0,5,E,2693
15596,9.1,9506.5,1.1,99,9.1,0,2,16,33,775,15,36,E,935
15597,9.1,8857.1,1,132,6.1,0,12,8,31,375,120,62,E,1463
15598,6.1,8714.3,0.3,33,0,1.3,11,16,22,125,105,17,D,1542
15599,6.1,9272.7,2.3,165,0,0,11,16,52,775,450,82,D,4391
15600,0,10129.9,9.6,66,0,7.8,1,16,42,2250,0,65,A,5711
15601,6.1,9545.5,1.7,231,3,3.9,11,12,33,1300,45,26,E,2156
15602,18.2,9662.3,1.3,198,6.1,0,4,16,23,350,15,91,E,623
15603,18.2,9441.6,1.5,198,9.1,0,2,44,27,850,585,76,E,1708
15604,6.1,8298.7,,66,3,2.6,,12,38,325,0,12,C,251
15605,9.1,10181.8,23.8,231,3,1.3,10,12,38,7475,45,80,A,6513
15606,21.2,9168.8,2.3,231,3,0,4,68,32,875,210,79,E,1721
15607,12.1,9103.9,1,132,9.1,0,7,20,22,225,0,65,E,1178
15608,6.1,9220.8,0.5,99,3,1.3,11,4,40,475,45,96,E,1623
15609,18.2,10013,,99,0,11.7,,28,36,1450,0,45,E,343
15610,9.1,8519.5,6.2,165,0,3.9,9,20,43,1550,105,67,B,3054
15611,6.1,9415.6,1.1,66,3,0,1,56,22,1275,180,58,E,791
15612,6.1,9467.5,4,66,3,0,5,12,22,1100,225,66,E,728
15613,3,8883.1,0.4,33,0,0,10,48,35,450,120,97,E,3009
15614,9.1,8792.2,1.6,99,3,0,12,4,28,725,285,16,E,2357
15615,9.1,9000,2.6,198,3,14.3,6,60,41,1350,210,38,E,1098
15616,9.1,9415.6,2,99,0,0,6,16,22,1425,330,46,E,1944
15617,3,10805.2,33.3,198,0,14.3,1,0,39,6600,30,85,D,-94
15618,9.1,10233.8,2.3,132,3,2.6,9,8,33,1400,60,67,E,2663
15619,6.1,9688.3,6.1,132,0,5.2,7,12,45,1950,675,35,D,3166
15620,0,9740.3,3.9,66,0,0,3,4,27,3125,0,71,E,1926
15621,9.1,8181.8,2.2,99,3,2.6,19,28,33,125,15,100,C,210
15622,9.1,8506.5,1,132,0,0,16,12,37,525,60,11,D,1190
15623,9.1,9467.5,0.1,99,6.1,0,1,12,22,375,0,17,C,338
15624,12.1,9376.6,0.6,132,0,5.2,12,28,33,900,210,98,E,836
15625,6.1,9129.9,2.7,66,3,0,6,20,22,900,150,75,E,1218
15626,3,9584.4,0.2,99,3,1.3,13,32,31,1375,75,62,D,1331
15627,12.1,8389.6,3.1,132,3,0,5,24,27,200,150,74,C,1288
15628,6.1,9155.8,0.3,66,6.1,0,4,28,21,250,15,36,C,589
15629,9.1,8909.1,4.4,165,3,0,12,16,52,1250,30,95,B,3298
15630,3,8402.6,0.7,33,3,3.9,10,36,35,325,30,29,C,1843
15631,6.1,9246.8,1.5,132,6.1,0,10,24,25,675,165,85,E,3265
15632,12.1,9753.2,10.4,231,3,1.3,6,20,34,950,210,84,E,2495
15633,3,9584.4,14.8,66,0,0,14,0,26,5875,435,9,E,2340
15634,3,9220.8,1.4,33,0,0,8,4,22,375,30,80,E,1377
15635,9.1,8571.4,0.7,165,3,0,6,48,47,1075,90,99,C,1221
15636,3,10636.4,8.6,99,0,11.7,2,0,39,3700,30,65,D,-154
15637,3,9026,0.2,33,0,1.3,3,4,40,325,0,73,C,1633
15638,6.1,8363.6,0.3,33,0,0,2,8,25,150,0,79,C,749
15639,9.1,8935.1,1.2,99,3,0,11,4,24,525,360,18,E,1806
15640,3,9493.5,,33,3,0,5,4,24,2375,0,55,E,635
15641,3,10000,,33,0,0,2,4,22,125,0,79,E,407
15642,21.2,9987,2.5,264,6.1,7.8,2,32,32,800,90,78,E,798
15643,3,9662.3,1.8,66,3,0,4,4,28,725,195,36,B,4287
15644,3,9584.4,1.4,33,0,0,3,16,22,950,315,44,C,1700
15645,6.1,10675.3,12,165,3,7.8,1,8,45,3400,105,80,A,3134
15646,9.1,9688.3,1,132,3,6.5,3,4,38,1175,15,56,E,469
15647,12.1,9116.9,2.4,132,6.1,0,2,44,23,225,15,74,E,1356
15648,9.1,9506.5,2.8,99,6.1,0,9,16,39,1050,360,76,E,2885
15649,21.2,10363.6,5.1,330,0,0,6,4,31,1400,135,31,E,581
15650,3,8454.5,1.7,33,0,0,9,88,34,550,90,14,C,3907
15651,9.1,9987,1.3,231,6.1,1.3,3,20,33,1525,255,14,E,806
15652,12.1,9792.2,3.5,198,3,5.2,6,20,34,1800,255,36,E,1316
15653,15.2,9688.3,,297,9.1,3.9,4,32,29,1875,0,14,E,469
15654,6.1,9454.5,3.1,165,3,0,5,32,40,975,90,77,E,1505
15655,9.1,8857.1,2.9,99,3,2.6,6,4,41,550,60,39,C,1059
15656,6.1,9259.7,1.1,297,0,2.6,11,20,29,550,90,64,E,2134
15657,15.2,8857.1,2.7,165,9.1,2.6,4,20,41,375,30,84,E,590
15658,6.1,9909.1,,66,0,0,1,0,25,875,105,6,B,4507
15659,9.1,8974,0,99,9.1,0,3,8,30,275,0,29,C,266
15660,3,9311.7,1.7,66,0,0,9,8,27,1125,150,46,E,2898
15661,9.1,9116.9,1.2,99,6.1,0,8,32,23,450,0,92,E,1853
15662,33.3,8662.3,5.6,396,15.2,7.8,12,104,50,450,0,54,B,1066
15663,9.1,9545.5,4.3,198,3,0,10,4,32,1600,195,36,E,3697
15664,6.1,9493.5,0,66,0,0,13,8,23,1725,210,2,B,4619
15665,12.1,9818.2,1.2,132,3,0,2,4,25,2300,75,89,E,1514
15666,3,9376.6,,33,0,0,9,4,24,350,0,13,E,298
15667,9.1,9831.2,3.3,99,3,0,10,0,40,1825,0,61,E,1109
15668,6.1,9194.8,,66,0,0,7,8,23,425,30,18,E,1133
15669,12.1,8467.5,5,165,6.1,5.2,11,20,36,1350,255,72,B,12612
15670,18.2,9467.5,2.5,198,12.1,0,3,48,23,350,105,51,E,434
15671,3,8324.7,0.5,99,0,0,12,4,32,625,0,62,C,631
15672,12.1,9428.6,13.6,132,0,2.6,8,0,31,2900,210,54,A,4628
15673,48.5,9688.3,2.2,495,18.2,20.8,1,28,45,1300,75,25,C,242
15674,6.1,9246.8,1.4,66,3,0,2,8,30,450,30,34,E,1299
15675,,9649.4,0.1,,,,,4,26,175,30,33,E,1161
15676,0,8493.5,0.6,33,0,1.3,4,12,34,500,0,99,C,454
15677,6.1,10026,,99,0,6.5,7,28,36,2450,0,88,E,1609
15678,15.2,8610.4,2.3,165,12.1,0,3,36,34,250,0,15,C,939
15679,3,9571.4,,33,3,1.3,,8,34,225,0,6,E,1075
15680,3,9311.7,1.8,66,0,0,15,20,37,1825,135,71,B,5022
15681,15.2,9337.7,3.6,231,3,1.3,4,4,43,1525,120,68,E,794
15682,6.1,9116.9,6.5,99,0,3.9,5,40,36,1425,330,90,E,2689
15683,15.2,9103.9,1.3,99,0,2.6,,28,27,125,45,38,B,2739
15684,9.1,10103.9,5.3,132,3,1.3,1,20,30,4300,120,51,A,3875
15685,15.2,9337.7,0.5,165,15.2,0,8,40,22,775,0,76,C,291
15686,0,10857.1,1.3,132,0,0,5,0,46,3075,15,38,A,6447
15687,0,9805.2,2.3,66,0,1.3,11,4,39,6500,285,66,B,7270
15688,9.1,9272.7,1.7,99,3,0,8,4,23,475,150,66,E,709
15689,15.2,8402.6,1.1,231,12.1,0,6,12,25,1125,15,68,C,935
15690,24.2,10714.3,15.7,297,3,7.8,2,20,40,3575,0,92,B,2979
15691,3,9402.6,0.1,33,3,0,9,36,24,425,0,74,E,632
15692,6.1,9506.5,12.3,198,0,1.3,8,8,50,2700,225,42,E,4889
15693,6.1,10324.7,41.8,132,3,3.9,6,4,39,7200,420,39,A,6848
15694,24.2,9259.7,2.8,363,9.1,5.2,4,40,37,1050,270,20,E,889
15695,3,9688.3,1.6,33,0,0,,0,25,375,120,85,B,5764
15696,12.1,9558.4,3.1,165,0,2.6,5,24,51,1150,75,17,E,1297
15697,3,9103.9,1.7,33,0,0,8,24,27,250,0,83,C,914
15698,6.1,9285.7,1.5,198,3,3.9,7,4,33,1325,135,41,E,1922
15699,21.2,9051.9,3.1,231,15.2,0,9,192,22,450,0,67,C,264
15700,12.1,8467.5,2.3,132,3,5.2,7,124,36,175,0,71,C,958
15701,9.1,8727.3,5.2,99,3,0,7,12,29,1750,105,94,E,1836
15702,3,10350.6,6.9,132,0,1.3,1,24,31,2850,150,79,E,2636
15703,9.1,8558.4,1.9,99,3,0,1,12,36,400,60,61,C,998
